date,code,open,high,low,close,volume,turn,pctChg
2012-07-31,sh.600606,7.8500,7.9700,5.8300,6.3000,587996512,113.885910,-15.482234
2012-08-31,sh.600606,6.1100,7.1000,5.9500,6.1000,383345802,73.959279,-3.174603
2012-09-28,sh.600606,6.0800,6.7500,5.3300,5.6000,270285871,52.146517,-8.196721
2012-10-31,sh.600606,5.6000,6.2500,5.3700,5.4500,205897548,39.724015,-2.678571
2012-11-30,sh.600606,5.4700,6.0000,4.6300,4.8300,212615917,41.020196,-11.376147
2012-12-31,sh.600606,4.8300,6.3600,4.5100,6.2100,502163050,96.882807,28.571429
2013-01-31,sh.600606,6.2100,7.4300,5.7000,6.4300,540153338,104.212310,3.542673
2013-02-28,sh.600606,6.4200,7.0900,6.0400,6.3300,204598046,39.473300,-1.555210
2013-03-29,sh.600606,6.3000,6.3700,5.2500,5.5000,236936106,45.712314,-13.112164
2013-04-26,sh.600606,5.5000,5.7200,5.2100,5.3200,109268538,21.081286,-3.272727
2013-05-31,sh.600606,5.3200,6.6300,5.2700,6.2000,356904209,68.857877,16.541353
2013-06-28,sh.600606,6.1800,6.2800,4.7100,5.2900,163368230,31.518792,-14.677419
2013-07-31,sh.600606,5.2900,5.2900,5.2300,5.2300,0,0.000000,0.000000
2013-08-30,sh.600606,5.2300,5.2300,5.2300,5.2300,0,0.000000,0.000000
2013-09-30,sh.600606,5.2300,5.2300,5.2300,5.2300,0,0.000000,0.000000
2013-10-31,sh.600606,5.2300,5.2300,5.2300,5.2300,0,0.000000,0.000000
2013-11-29,sh.600606,5.2300,5.2300,5.2300,5.2300,0,0.000000,0.000000
2013-12-31,sh.600606,5.2300,5.2300,5.2300,5.2300,0,0.000000,0.000000
2014-01-30,sh.600606,5.2300,5.2300,5.2300,5.2300,0,0.000000,0.000000
2014-02-28,sh.600606,5.2300,5.2300,5.2300,5.2300,0,0.000000,0.000000
2014-03-31,sh.600606,5.2300,11.2200,5.2300,8.9000,252429727,48.701513,70.172084
2014-04-30,sh.600606,8.8100,9.5400,7.6900,7.8800,521581931,100.629310,-11.460674
2014-05-30,sh.600606,7.8300,7.9600,7.1300,7.4700,156310932,30.157220,-5.203046
2014-06-30,sh.600606,7.4700,8.3600,7.0000,7.9700,230856049,44.539283,6.693440
2014-07-31,sh.600606,8.0000,8.4100,7.3200,8.0500,372380072,71.843650,1.550469
2014-08-29,sh.600606,8.0200,8.6300,7.9000,8.1400,298855960,57.658572,1.118012
2014-09-30,sh.600606,8.1400,9.8000,8.1000,9.6200,415471493,80.157320,18.181818
2014-10-31,sh.600606,9.7700,9.9600,8.5000,9.0900,195378539,37.694572,-5.509356
2014-11-28,sh.600606,9.1000,9.9400,8.6100,9.6200,232009899,44.761896,5.830583
2014-12-31,sh.600606,9.6400,13.5100,9.3800,12.9400,575063141,110.947492,34.511435
2015-01-30,sh.600606,13.3600,18.5500,13.1400,17.0400,460611232,88.866174,31.684699
2015-02-27,sh.600606,16.5200,18.9000,15.7500,18.3300,179496113,34.630360,7.570423
2015-03-31,sh.600606,18.8100,19.2500,16.6600,18.2700,340379889,65.669824,-0.327332
