,date,code,amount,buy_price
0,2023-07-31,sh.601398,35300.0,4.77
1,2023-07-31,sh.600958,0.0,10.8
2,2023-07-31,sh.601628,0.0,36.67
3,2023-07-31,sz.000617,0.0,7.4
4,2023-07-31,sz.000001,0.0,12.32
5,2023-07-31,sh.600887,0.0,28.66
6,2023-07-31,sz.000895,0.0,25.24
7,2023-07-31,sh.600358,0.0,5.58
8,2023-07-31,sh.603099,0.0,13.84
9,2023-07-31,sz.002563,0.0,6.49
10,2023-07-31,sh.600028,0.0,6.2
11,2023-07-31,sh.601390,0.0,8.03
12,2023-07-31,sh.600039,0.0,9.88
13,2023-07-31,sz.000961,0.0,2.38
14,2023-07-31,sz.000002,0.0,15.25
15,2023-07-31,sh.600118,500.0,27.92
16,2023-07-31,sh.600072,0.0,24.94
17,2023-07-31,sh.600776,100.0,12.05
18,2023-07-31,sh.601727,0.0,4.77
19,2023-07-31,sh.601186,0.0,10.75
20,2023-07-31,sz.000063,0.0,39.15
21,2023-07-31,sz.002463,0.0,21.93
22,2023-07-31,sz.000725,0.0,4.23
23,2023-07-31,sz.002432,0.0,35.71
24,2023-07-31,sh.600588,600.0,18.87
25,2023-07-31,sz.002245,0.0,11.02
26,2023-07-31,sz.000807,0.0,14.84
